Physical Time [Seconds],H [m],Q [m^3/s],Blade Angle [deg.],n [rpm],Power [W]
0,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
1,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
2,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
3,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
4,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
5,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
6,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
7,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
8,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
9,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
10,2.1497590142266785,3.372,16.2,113.5,61756.80340173286
